site,Plot,Basal_Area_20m,Basal_Area_19m,Basal_Area_18m,Basal_Area_17m,Basal_Area_16m,Basal_Area_15m,Basal_Area_14m,Basal_Area_13m,Basal_Area_12m,Basal_Area_11m,Basal_Area_10m,Basal_Area_09m,Basal_Area_08m,Basal_Area_07m,Basal_Area_06m,Basal_Area_05m,Basal_Area_04m,Broad_BA_20m,Broad_BA_19m,Broad_BA_18m,Broad_BA_17m,Broad_BA_16m,Broad_BA_15m,Broad_BA_14m,Broad_BA_13m,Broad_BA_12m,Broad_BA_11m,Broad_BA_10m,Broad_BA_09m,Broad_BA_08m,Broad_BA_07m,Broad_BA_06m,Broad_BA_05m,Broad_BA_04m,perc_broad_20m,perc_broad_19m,perc_broad_18m,perc_broad_17m,perc_broad_16m,perc_broad_15m,perc_broad_14m,perc_broad_13m,perc_broad_12m,perc_broad_11m,perc_broad_10m,perc_broad_09m,perc_broad_08m,perc_broad_07m,perc_broad_06m,perc_broad_05m,perc_broad_04m,CanOpen
Arville,21,30.14445625,29.7874861495845,29.4897530864198,30.4507093425606,29.658681640625,29.9651111111111,30.8158163265306,35.0679142011834,39.7730902777778,39.6691115702479,44.118725,40.5964197530864,51.37984375,53.872193877551,43.7468055555556,61.6498,57.2653125,18.67095,19.3956232686981,19.8401774691358,20.7531314878893,22.03298828125,21.2887666666667,20.8557270408163,24.1877071005917,28.3869618055556,28.7815082644628,34.825625,31.1304012345679,39.3994140625,42.0267857142857,33.0295138888889,47.5625,35.25390625,61.938254401255,65.1133270236321,67.2782081660506,68.1531955608105,74.2884951806836,71.0451784668095,67.6786453418103,68.9738972264722,71.3722811260056,72.5539522444186,78.9361546599545,76.6826272462146,76.6826272462146,78.01201824045,75.5015445572216,77.1494798036652,61.562409617515,0.196680067
Arville,22,31.71703125,32.1785595567867,28.1023919753086,27.7547923875433,29.85921875,27.2939555555556,31.3323469387755,31.228875739645,25.9367361111111,28.2509710743802,34.183675,27.3338888888889,32.634453125,42.6245918367347,36.1656944444444,48.981,53.31015625,21.6003625,22.1326731301939,17.8117901234568,17.6298269896194,19.902421875,16.7500888888889,19.2284183673469,19.3048520710059,12.4988368055556,14.8746487603306,17.998325,15.6608641975309,17.86078125,23.3283673469388,18.0625,26.01,40.640625,68.103355354231,68.7808075782123,63.3817581759823,63.5199382631012,66.6541949460751,61.3692246065063,61.3692246065063,61.8173136681269,48.1897057209181,52.6518140603665,52.6518140603665,57.2946800990946,54.7298316340332,54.7298316340332,49.9437388869901,53.1022233110798,76.2343010390257,0.162641129
Arville,23,27.3802375,28.3542797783934,26.8540509259259,26.9996885813149,24.53681640625,26.6637888888889,28.9807015306122,29.3768343195266,30.9411111111111,31.4267768595041,27.20235,24.9133950617284,13.1172265625,17.1327040816327,23.3195138888889,33.5801,0,22.80969375,23.9814889196676,22.3799845679012,22.6973096885813,21.192529296875,24.1123888888889,27.6800382653061,27.8683727810651,29.1707638888889,29.8756198347107,25.32545,22.5962345679012,13.1172265625,17.1327040816327,23.3195138888889,33.5801,0,83.3071435191167,84.5780217557918,83.3393242220105,84.0650795664694,86.3703299808563,90.4312173688744,95.5119676315211,94.8651324303556,94.2783333931842,95.0642185429071,93.1002284729077,90.6991380015213,100,100,100,100,0,0.309371288
Arville,24,27.11365625,25.4974515235457,26.4086959876543,25.7760294117647,26.539208984375,27.0259,30.8617602040816,31.9447041420118,37.4906597222222,37.8413636363636,23.792275,28.4916666666667,36.059765625,43.4065816326531,31.8222916666667,22.09,34.515625,15.68821875,12.9601869806094,12.9734182098765,12.4420934256055,12.428291015625,11.6652555555556,13.391237244898,11.6830325443787,13.7113368055556,15.6776239669421,9.8132,12.1150617283951,15.333125,20.0269387755102,0,0,0,57.8609487608297,50.829342566418,49.1255540066856,48.270015629043,46.8299225607748,43.1632454628914,43.3910352369561,36.5726741197576,36.5726741197576,41.429859974382,41.2453201721988,42.5214216849198,42.5214216849198,46.1380233647441,0,0,0,0.21166095
Arville,25,27.6163375,30.5998199445983,30.9201466049383,28.5630968858132,27.03388671875,30.7585555555556,28.3752423469388,31.2878402366864,36.3986458333333,30.1950619834711,21.38,26.3950617283951,21.15625,0,0,0,0,8.5277375,9.44901662049861,8.74287808641975,8.17232698961938,4.184775390625,4.76134444444444,5.46582908163265,6.33906804733728,7.43960069444444,6.47933884297521,7.84,9.67901234567901,0,0,0,0,0,30.8793209816472,30.8793209816472,28.2756682823212,28.6114878309237,15.4797400542577,15.4797400542577,19.2626692480825,20.2604845824559,20.4392238340674,21.4582730332596,36.6697848456501,36.6697848456501,0,0,0,0,0,0.504112432
Arville,26,24.2272375,26.8445844875346,24.8044598765432,25.5584602076125,26.10994140625,24.5208888888889,27.3260714285714,26.7154437869822,25.7129166666667,30.6004958677686,30.975,30.212962962963,27.265625,35.6122448979592,0,0,0,1.5129,1.67634349030471,1.86777777777778,2.09397923875433,2.36390625,2.6896,3.08755102040816,3.58082840236686,4.2025,5.00132231404959,0,0,0,0,0,0,0,6.24462446451024,6.24462446451024,7.53000785775656,8.19290059629901,9.05366355756795,10.9686072645545,11.2989202581821,13.4035894403211,16.3439257182674,16.3439257182674,0,0,0,0,0,0,0,0.463130483
Arville,27,31.05164375,31.3103393351801,28.3106790123457,27.3205363321799,30.84232421875,25.2682666666667,28.794681122449,28.2456065088757,28.8610069444444,34.3469834710744,30.13425,27.8663580246914,35.268359375,14.2369897959184,15.3559027777778,2.1316,0,11.5736625,11.5554155124654,9.69054012345679,8.96135813148789,10.116533203125,5.43471111111111,6.23882653061225,7.23556213017752,8.49173611111111,10.105867768595,7.5625,0,0,0,0,0,0,37.2723022110544,36.906069234075,34.2292748232247,32.8008133608,32.8008133608,21.5080487427357,21.6665935770628,25.6165932493036,29.4228684655984,29.4228684655984,25.0960286053245,0,0,0,0,0,0,0.424811786
Arville,28,13.2209375,14.6492382271468,16.3221450617284,14.3071107266436,13.30373046875,12.2466888888889,10.3393112244898,11.9911538461538,14.0729513888889,16.7479752066116,6.225025,7.68521604938272,9.7266015625,12.7041326530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649101844
Arville,29,30.58270625,33.8866551246537,35.2494830246914,36.6084169550173,29.357373046875,25.5895222222222,23.8575510204082,23.1942603550296,22.1585416666667,26.3704958677686,26.6183,15.1553086419753,19.1809375,16.725306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521470092
Arville,30,20.09691875,22.2680540166205,20.3904861111111,22.8599221453287,17.778388671875,17.8253555555556,14.6645535714286,17.0074112426035,17.4531423611111,20.7706818181818,20.0475,24.75,20.3515625,26.5816326530612,19.5069444444444,28.09,43.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505988776
